Date,Open,High,Low,Close,Volume,Adj Close,returns,z,miu,sigma
29-04-16,93.989998,94.720001,92.510002,93.739998,68531500,93.172721,0,0.019238658,-0.000308646,0.016043024
28-04-16,97.610001,97.879997,94.25,94.830002,82242700,94.256129,0.011627953,0.744036742,,
27-04-16,96,98.709999,95.68,97.82,114602100,97.228032,0.031530077,1.9845837,,
26-04-16,103.910004,105.300003,103.910004,104.349998,56016200,103.718514,0.066755254,4.180253179,,
25-04-16,105,105.650002,104.510002,105.080002,28031600,104.4441,0.006995723,0.455298794,,
22-04-16,105.010002,106.480003,104.620003,105.68,33683100,105.040467,0.005709916,0.375151345,,
21-04-16,106.93,106.93,105.519997,105.970001,31552500,105.328713,0.002744142,0.190287612,,
20-04-16,106.639999,108.089996,106.059998,107.129997,30611000,106.481689,0.010946455,0.701557346,,
19-04-16,107.879997,108,106.230003,106.910004,32384900,106.263027,-0.002053517,-0.108761988,,
18-04-16,108.889999,108.949997,106.940002,107.480003,60821500,106.829577,0.005331582,0.35156888,,
15-04-16,112.110001,112.300003,109.730003,109.849998,46939000,109.18523,0.022050569,1.393703341,,
14-04-16,111.620003,112.389999,111.330002,112.099998,25473900,111.421614,0.020482477,1.295960417,,
13-04-16,110.800003,112.339996,110.800003,112.040001,33257300,111.36198,-0.00053521,-0.014122281,,
12-04-16,109.339996,110.5,108.660004,110.440002,27232300,109.771664,-0.014280601,-0.870905326,,
11-04-16,108.970001,110.610001,108.830002,109.019997,29407500,108.360251,-0.012857717,-0.782213573,,
08-04-16,108.910004,109.769997,108.169998,108.660004,23581700,108.002437,-0.003302078,-0.186587754,,
07-04-16,109.949997,110.419998,108.120003,108.540001,31801900,107.88316,-0.001104392,-0.049600718,,
06-04-16,110.230003,110.980003,109.199997,110.959999,26404100,110.288514,0.022295917,1.408996455,,
05-04-16,109.510002,110.730003,109.419998,109.809998,26578700,109.145471,-0.010364116,-0.626781485,,
04-04-16,110.419998,112.190002,110.269997,111.120003,37356200,110.447549,0.011929748,0.762848379,,
01-04-16,108.779999,110,108.199997,109.989998,25874000,109.324382,-0.010169234,-0.614634014,,
31-03-16,109.720001,109.900002,108.879997,108.989998,25888400,108.330434,-0.009091732,-0.547470733,,
30-03-16,108.650002,110.419998,108.599998,109.559998,45601100,108.896984,0.005229832,0.345226601,,
29-03-16,104.889999,107.790001,104.879997,107.68,31190100,107.028364,-0.01715952,-1.050355243,,
28-03-16,106,106.190002,105.059998,105.190002,19411400,104.553435,-0.023124048,-1.422138496,,
24-03-16,105.470001,106.25,104.889999,105.669998,26133000,105.030526,0.004563131,0.303669506,,
23-03-16,106.480003,107.07,105.900002,106.129997,25703500,105.487741,0.004353163,0.290581711,,
22-03-16,105.25,107.290001,105.209999,106.720001,32444400,106.074174,0.005559253,0.365760158,,
21-03-16,105.93,107.650002,105.139999,105.910004,35502700,105.269079,-0.007589925,-0.453859489,,
18-03-16,106.339996,106.5,105.190002,105.919998,44205200,105.279013,9.43677E-05,0.025120822,,
17-03-16,105.519997,106.470001,104.959999,105.800003,34420700,105.159744,-0.001132885,-0.051376762,,
16-03-16,104.610001,106.309998,104.589996,105.970001,38303500,105.328713,0.001606784,0.119393348,,
15-03-16,103.959999,105.18,103.849998,104.580002,40067700,103.947125,-0.013116917,-0.798370131,,
14-03-16,101.910004,102.910004,101.779999,102.519997,25076100,101.899587,-0.01969788,-1.208577276,,
11-03-16,102.239998,102.279999,101.5,102.260002,27408200,101.641166,-0.002536036,-0.138838513,,
10-03-16,101.410004,102.239998,100.150002,101.169998,33513600,100.557758,-0.010659146,-0.645171366,,
09-03-16,101.309998,101.580002,100.269997,101.120003,27201700,100.508065,-0.000494174,-0.01156437,,
08-03-16,100.779999,101.760002,100.400002,101.029999,31561900,100.418606,-0.000890068,-0.036241399,,
07-03-16,102.389999,102.830002,100.959999,101.870003,35828900,101.253526,0.008314395,0.537494795,,
04-03-16,102.370003,103.75,101.370003,103.010002,46055100,102.386627,0.011190731,0.71678368,,
03-03-16,100.580002,101.709999,100.449997,101.5,36955700,100.885763,-0.014658789,-0.894478713,,
02-03-16,100.510002,100.889999,99.639999,100.75,33169600,100.140301,-0.007389169,-0.441345932,,
01-03-16,97.650002,100.769997,97.419998,100.529999,50407100,99.921631,-0.002183636,-0.116872613,,
29-02-16,96.860001,98.230003,96.650002,96.690002,35216300,96.104873,-0.038197515,-2.361703731,,
26-02-16,97.199997,98.019997,96.580002,96.910004,28991100,96.323543,0.002275327,0.161065219,,
25-02-16,96.050003,96.760002,95.25,96.760002,27582700,96.174449,-0.001547846,-0.077242275,,
24-02-16,93.980003,96.379997,93.32,96.099998,36255700,95.51844,-0.006821032,-0.40593257,,
23-02-16,96.400002,96.5,94.550003,94.690002,31942600,94.116976,-0.014672183,-0.895313549,,
22-02-16,96.309998,96.900002,95.919998,96.879997,34280800,96.293718,0.023128049,1.460865198,,
19-02-16,96,96.760002,95.800003,96.040001,35374200,95.458805,-0.008670483,-0.521213237,,
18-02-16,98.839996,98.889999,96.089996,96.260002,39021000,95.677475,0.002290726,0.162025106,,
